新银河世纪集团招聘检验检疫协检员,新银河世纪集团,2016-03-18,[],http://life.scau.edu.cn/news-subj-2213.asp?navId=52
汉腾生物科技有限公司宣讲会信息,汉腾生物科技有限公司,2016-03-09,['广州国际生物岛'],http://life.scau.edu.cn/news-subj-2197.asp?navId=52
星火国际教育集团2016校园招聘,星火国际教育集团,2016-04-22,"['江门--蓬江区', '江门--新会区', '深圳—龙华区', '深圳—南山区以及福州', '青岛', '贵阳', '南宁等分公司。']",http://life.scau.edu.cn/news-subj-2266.asp?navId=52
南方农村报——独特价值三农综合服务商,未识别的公司,2015-12-02,[],http://life.scau.edu.cn/news-subj-2095.asp?navId=52
广州瑞科基因科技有限公司招聘,广州瑞科基因科技有限公司,2015-11-20,[],http://life.scau.edu.cn/news-subj-2080.asp?navId=52
广州沣润生物科技有限公司招聘,广州沣润生物科技有限公司,2016-03-10,[],http://life.scau.edu.cn/news-subj-2202.asp?navId=52
广州博翀生物科技有限公司招聘和宣讲会信息,广州博翀生物科技有限公司,2016-03-18,['广州科学城'],http://life.scau.edu.cn/news-subj-2214.asp?navId=52
学而思培优2016华南农业大学宣讲会,未识别的公司,2016-03-18,"['全国各地分校（广州', '北京', '天津', '上海', '武汉', '深圳', '西安', '成都', '杭州', '重庆', '苏州', '南京', '郑州', '沈阳', '太原', '长沙', '石家庄', '青岛', '济南', '宁波', '无锡', '南昌', '合肥', '洛阳', '福州）']",http://life.scau.edu.cn/news-subj-2215.asp?navId=52
浙江大学基础医学院研究生招生宣讲会,未识别的公司,2016-04-10,[],http://life.scau.edu.cn/news-subj-2247.asp?navId=52
东莞博奥木华基因科技有限公司招聘,东莞博奥木华基因科技有限公司,2016-03-10,"['为广州生物岛即官洲（即官洲地铁站）', '环境优美', '交通方便', '待遇从优', '五险一金齐全', '有意者请发简历至dhluo@capitalgenomics.com。相关信息可查看：http://sou.zhaopin.com/jobs/companysearch.ashx?CompID=CC302305181', '谢谢！', '', '', '', '', '', '', '', '', '', '', '']",http://life.scau.edu.cn/news-subj-2203.asp?navId=52
广州来美容信息科技有限公司宣讲会,广州来美容信息科技有限公司,2016-03-08,[],http://life.scau.edu.cn/news-subj-2194.asp?navId=52
好未来集团·爱智康校园招聘简章,好未来集团,2016-03-08,[],http://life.scau.edu.cn/news-subj-2195.asp?navId=52
广州奇辉生物科技有限公司宣讲会,广州奇辉生物科技有限公司,2016-03-14,[],http://life.scau.edu.cn/news-subj-2205.asp?navId=52
哈曼校园行2016年校园招聘项目,未识别的公司,2016-04-12,[],http://life.scau.edu.cn/news-subj-2251.asp?navId=52
这一步校园招聘网2016校园招聘,未识别的公司,2016-03-03,[],http://life.scau.edu.cn/news-subj-2181.asp?navId=52
深圳华因康基因2016校园招聘简章,未识别的公司,2016-03-24,[],http://life.scau.edu.cn/news-subj-2226.asp?navId=52
华南农业大学2016年春季生物和食品类专业毕业生 专场招聘会邀请函,未识别的公司,2016-03-09,[],http://life.scau.edu.cn/news-subj-2199.asp?navId=52
“冠昊奥咨达杯”生物医药青年创业大赛,未识别的公司,2015-12-29,[],http://life.scau.edu.cn/news-subj-2140.asp?navId=52
汉腾生物科技有限公司招聘,汉腾生物科技有限公司,2016-01-22,[],http://life.scau.edu.cn/news-subj-2168.asp?navId=52
广东和信健康科技有限公司招聘简章,广东和信健康科技有限公司,2016-04-12,[],http://life.scau.edu.cn/news-subj-2250.asp?navId=52
深圳太极2016校园招聘,未识别的公司,2015-11-03,[],http://life.scau.edu.cn/news-subj-2048.asp?navId=52
美吉生物2016年招聘简章及宣讲会通知,未识别的公司,2015-10-22,[],http://life.scau.edu.cn/news-subj-2036.asp?navId=52
